ComplaintNo,Date,Complaint,Complaint Completed,Result
52146,6/18/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during street cleaning.,8/22/2018 12:00:00 AM,Tower agreed to refund cost of tow to complainant.
52146,5/8/2018 12:00:00 AM,Complainant believes his car was wrongfully towed and damaged.,8/28/2018 12:00:00 AM,No violations found against towing company.
52146,4/10/2018 12:00:00 AM,complainant believes her car was wrongfully towed from a construction site.,4/26/2018 12:00:00 AM,No towing violations found against company
52146,9/27/2017 12:00:00 AM,complainant believes his car was damaged by towing company,10/19/2017 12:00:00 AM,Towing company does not believe it is at fault. Complainant given towers insurance information and advised to contact his insurance company.
52146,6/27/2017 12:00:00 AM,complainant believes his car was wrongfully towed and window was damaged,7/25/2017 12:00:00 AM,No violations found against towing company
52146,,ALLEGES IS COMPLAINING ON OVERCHARGE ON STORAGE AND MILEAGE.,6/25/2014 12:00:00 AM,D&G Towing Refunded $8.00 on Mileage fees. Accordingly the Department considers this matter resolved and has closed its file.
52146,,Complianant believes two of her vehicles were wrongfully towed.,12/14/2018 12:00:00 AM,no violations of towing regs found against company
1623,7/27/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,8/13/2018 12:00:00 AM,"Tow authorized by Salisbury PD, no violations against tower."
5711,8/24/2018 12:00:00 AM,Complainant believes he was overcharged during recent towing of his vehicle.,9/17/2018 12:00:00 AM,Tower agreed to partial refund of waiting time charges and fuel.
52272,4/19/2019 12:00:00 AM,Complainant believes he was overcharged for storage during recent involuntary tow.,5/21/2019 12:00:00 AM,Tower agreed to refund one day of storage costs.
52828,7/16/2018 12:00:00 AM,Complainant's vehicle was towed for expired registration.,8/13/2018 12:00:00 AM,Towing company agreement with apartment complex specifically states cars must be registered and insured to park. No violations found against tower
