Address,Authority,Cert #,City,Complaints,DBA,Name,State,Telephone
822 OLD PLYMOUTH STREET,TOWER,28810,HALIFAX,28987,,ELLIS AUTO BODY,MA,7812936331
925 PLYMOUTH STREET,TOWER,31389,HALIFAX,52130,RICHARD GREENE,RG AUTOMOTIVE Inc.,MA,7818266484
20 COMMERCIAL DRIVE,TOWER,30564,HAMPDEN,37795,"MARINI, CORBY",HAMPDEN TOWING,MA,4135439119
224 MAIN STREET,TOWER,30501,HAMPDEN,37688,,NORTHEAST TOWING AND RECOVERY,MA,4138875132
183 coulumbia road,TOWER,21370,HANOVER,4908,,"ANDY'S OF PEMBROKE, INC.",MA,7812935500
218 COLUMBIA ROAD,TOWER,31150,HANOVER,51827,,CAPEWAY TOWING INC,MA,7818263804
437 EAST WASHINGTON STREET,TOWER,31596,HANSON,52445,TIMOTHY MCQUARRIE,MCQUARRIE AUTO ENGINEERING,MA,7812936331
144 EAST WASHINGTON STREET,TOWER,30948,HANSON,48806,,TRANS TECH,MA,7818263804
182 QUEEN ANNE ROAD,TOWER,31858,HARWICH,52824,ALL CAPE TRUCK SERVICE LLC,ALL CAPE TRUCK SERVICE LLC,MA,5082481440
112 HALE ST,TOWER,30718,HAVERHILL,38054,,110 TOWING CO,MA,8009228276
221 ESSEX STREET,TOWER,31036,HAVERHILL,48920,STEPHEN J LEBLANC,BRADFORD TOWING CO,MA,7819422225
17 LAFAYETTE STREET,TOWER,30356,HAVERHILL,37476,,FCC TOWING,MA,5083666161
767 MAIN ST,TOWER,22749,HAVERHILL,5386,,MAIN ST MOBIL,MA,7817298770
15 FORT HILL STREET,TOWER,19129,HINGHAM,4226,,THOMAS AUTO BODY SHOP INC,MA,8882408803
970 MIDDLEFIEDL RD,TOWER,31814,HINSDALE,52762,PAUL A LAROCHELLE,LAROCHELLE AUTO RESTORATION,MA,4136842384
6 WEYMOUTH STREET,TOWER,31325,HOLBROOK,52040,,MCGRATH'S TOWING & RECOV INC,MA,7818372300
472 SOUTH FRANKLIN STREET,TOWER,31634,HOLBROOK,52526,,OBRIEN CAR CARE INC,MA,7817672400
776 SOUTH FRANKLIN STREET,TOWER,30830,HOLBROOK,48651,,"PINE HILL SERVICE STATION, INC",MA,8004989900
236 PLYMOUTH STREET,TOWER,16906,HOLBROOK,3774,,"REVITALIZE AUTO RECON., INC.",MA,6178470005
94 RESERVOIR STREET,TOWER,30607,HOLDEN,37858,,"VILLAGE REPAIR, INC.",MA,5086203442
229 LOWLAND ST,TOWER,31862,HOLLISTON,52836,HOLLISTON TOWING INC.,HOLLISTON TOWING INC.,MA,5084292100
439 WASHINGTON STREET,TOWER,31411,HOLLISTON,52162,,HOMETOWN AUTO SVC&SALES INC,MA,5087547255
85 CENTRAL STREET,TOWER,29329,HOLLISTON,32755,,NICK'S CENTRAL GARAGE,MA,7817623824
1537 NORTHAMPTON STREET,TOWER,9682,HOLYOKE,2849,,REARDON'S GARAGE,MA,4137333131
96 MAIN STREET,TOWER,30225,HOPKINTON,37121,,MAIN ST. SERVICE CENTER,MA,6174471208
401 B RIVER ROAD,TOWER,22222,HUDSON,5186,,COUNTRYSIDE TOWING,MA,5084818200
469 RIVER rd  ste3,TOWER,31472,HUDSON,52232,KENNETH WINCHESTER II,KENNY'S REPO & RECOVERY SPEC,MA,9786672541
91R FALMOUTH ROAD,TOWER,30423,HYANNIS,37550,,ALL CAPE TOWING & REPAIR,MA,5085402609
116 RIDGEWOOD AVENUE,TOWER,18119,HYANNIS,4009,,"BUCKLER'S TOWING SERVICE, INC.",MA,5087711632
100 SCUDDER AVENUE,TOWER,22077,HYANNIS,5144,,CAPEWAY TOWING SERVICE,MA,5086735893
50 AIRPORT ROAD,TOWER,30462,HYANNIS,37632,MASHPEE ROTARY INC,DAVIS TOWING,MA,6174365050
345 BARNSTABLE ROAD,TOWER,12266,HYANNIS,3092,,"ROTARY AUTO TOWING COMP., INC.",MA,5087750011
1035 HYDE PARK AVE,TOWER,31891,HYDE PARK,52882,,AKIKI AND SONS INC,MA,5083666161
750 HYDE PARK AVE,TOWER,31620,HYDE PARK,52490,,ANYTIME TOWING INC,MA,5084594700
1620 HYDE PARK AVENUE,TOWER,30717,HYDE PARK,38035,RAFAEL FELICIANO JR,METRO TOWING,MA,6179651830
3430 WASHINGTON STREET,TOWER,9200,JAMAICA PLAIN,2776,,STANLEY SERVICE INC,MA,7819373200
101 PEMBROKE STREET,TOWER,23388,KINGSTON,38028,,CENTER REPAIR & MACHINE CO.,MA,6174365050
44 WILLIAM C. GOULD JR. WAY,TOWER,31253,KINGSTON,51941,,S & S TRANSPORT INC,MA,5085647200
11 JOSEPH STREET,TOWER,30371,KINGSTON,37482,COLLARI AUTOMOTIVE,TIGER TOWING,MA,5084594700
37 MAIN STREET SUITE 6,TOWER,31348,KINGSTON,52073,DAVID NORDBY,TOTAL TRANSMISSION SERVICE,MA,7815856050
1 FERN AVENUE,TOWER,31574,LAKEVILLE,52406,MARK A LUCAS,AFFORDABLE AUTO REPAIR&TOWING,MA,7818487652
35 TAUNTON STREET,TOWER,31492,LAKEVILLE,52261,,LAKEVILLE AUTO SALES,MA,5089439000
25 PICKENS ST,TOWER,21522,LAKEVILLE,4957,,MID-TOWN AUTO BODY,MA,5085865310
164 HIGH STREET EXT.,TOWER,22211,LANCASTER,5182,"TJM AUTO BODY, INC.",LANCASTER A-1 AUTO BODY/HENNA,MA,8882408803
60 POTTER MOUNTAIN ROAD,TOWER,2820,LANESBOROUGH,1552,"SAYERS AUTO WRECKING, INC.","SAYERS AUTO WRECKING, INC.",MA,4134436428
800 CHESHIRE ROAD,TOWER,12997,LANESBOROUGH,3166,,"VILLAGE TRUCK SALES, INC.",MA,4136632392
139 MARSTON STREET,TOWER,4710,LAWRENCE,2080,,COADY'S GARAGE & TOWING SERVIC,MA,8882408803
4  MEDFORD STREET,TOWER,30349,LAWRENCE,37438,,MIKE & WILLIE'S AUTO ACCE.&TWG,MA,7819370220
354 WATER STREET,TOWER,15726,LAWRENCE,38000,,"TOWER HILL TOWING SERVICE, IN.",MA,
35 RUN WAY,TOWER,5363,LEE,2265,,RW'S INC,MA,4132985584
1323 MAIN ST,TOWER,31843,LEICESTER,52808,,CLASSIC AUTOMOTIVE INC,MA,5088928133
14 HUNTOON MEMORIAL HWY.,TOWER,25716,LEICESTER,6947,,DEER POND AUTO,MA,8006881825
800 MAIN STREET,TOWER,15891,LEICESTER,3592,,ENTWISTLE'S GARAGE INC,MA,8009512100
81 SOUTH MAIN ST,TOWER,31766,LEICESTER,52707,RAUL ROMAN,RAUL'S AUTOMOTIVE,MA,5089439000
90 MAIN STREET,TOWER,23920,LENOX,5853,,HOFF'S MOBIL,MA,4132430089
ONE CRYSTAL STREET,TOWER,31267,LENOXDALE,51951,,LENOXDALE SERVICE STATION INC,MA,8773147315
25 MOHAWK DRIVE,TOWER,31713,LEOMINSTER,52633,,A&G TOWING REPAIR CORP,MA,9783436946
89 MARGUERITE AVENUE,TOWER,12689,LEOMINSTER,3132,,ABLE AUTO BODY & GLASS,MA,9783434853
8 CROSS STREET,TOWER,21234,LEOMINSTER,4858,"ACME AUTO BODY REPAIRING, INC.","ACME AUTO BODY REPAIRING, INC.",MA,9785345133
20 Moore STREET,TOWER,24563,LEOMINSTER,6170,,AMERICAN TOWING,MA,9783454131
37 NINTH STREET,TOWER,9764,LEOMINSTER,2864,IMPERIAL AUTO PARTS INC,ET COTE AUTO EXCHANGE,MA,8004434513
199 VISCOLOID AVENUE,TOWER,29682,LEOMINSTER,35181,SAME,"IMPERIAL AUTO BODY & SALES, IN",MA,9783421444
727 LANCASTER STREET,TOWER,22071,LEOMINSTER,52832,QUALITY AUTO BODY,QUALITY TOWING & RECOVERY INC,MA,9783436946
260 LANCASTER ROAD,TOWER,16154,LEOMINSTER,3640,"PIERMARINI, INC., RICK",RICKY'S TOWING,MA,5087598022
7 MASSACHUSETTS AVENUE,TOWER,13657,LEXINGTON,3242,,MAL'S NIGHT & DAY TOWING CO.,MA,7818615200
546 PROVIDENCE ROAD,TOWER,30551,LINWOOD,37743,,"HARBRO SALES & SERVICE, INC.",MA,5087565159
1516 MIDDLESEX STREET,TOWER,31453,LOWELL,52212,ATLANTIC COLLISION CENTER,CARSTAR ATLANTIC COLLISION,MA,9784759150
50 FIRST STREET BOULEVARD,TOWER,14564,LOWELL,3374,,"GULBICKI'S, INC",MA,8009228276
256 SMITH STREET,TOWER,22946,LOWELL,5451,,KAZANJIAN'S AUTO  REP SHOP IN,MA,8882408803
615 DUTTON STREET,TOWER,21691,LOWELL,5008,,KAZANJIAN'S GARAGE INC,MA,8004434513
26 TANNER STREET,TOWER,31245,LOWELL,51937,,LOWELL FLEET TOWING INC,MA,4014353600
97 TANNER STREET,TOWER,29474,LOWELL,33580,,"STUART'S AUTOMOTIVE, INC.",MA,8004434513
381 MASS. AVENUE,TOWER,30364,LUNENBURG,37471,,"MASS AVE MOTORS, INC.",MA,9788408700
3 CHASE ROAD,TOWER,31293,LUNENBURG,51989,,VICTORY LANE TOWING,MA,9785824964
234 CHESTNUT STREET,TOWER,23017,LYNN,5487,,FLEMING'S TOWING,MA,5089781166
1117R Western Avenue,TOWER,31109,LYNN,51586,,MASS RECOVERY BUREAU INC,MA,6179566000
234 Chestnut STREET,TOWER,11084,LYNN,3000,,"WOODS TOWING SERVICE INC., BIL",MA,6172850826
469 BROADWAY,TOWER,17587,MALDEN,7225,,99 TOWING & TRUCK,MA,9788408700
356 LEBANON ST,TOWER,24801,MALDEN,6301,,ANDY'S SERVICE CENTER,MA,7813249621
1114 Eastern Avenue,TOWER,31838,MALDEN,52805,RTS ENTERPRISES CORP,EASTSIDE TOWING SERVICE,MA,7813219700
35 CANAL STREET,TOWER,30817,MALDEN,48616,,MALDEN-MIDDLESEX MTR SALES IN,MA,7819422225
271 BROADWAY,TOWER,15951,MALDEN,3606,,"MAPLEWOOD MOTORS, INC.",MA,6176251914
1081 FELLSWAY,TOWER,22955,MALDEN,5455,,"RIGANO'S TOWING SERVICE, INC.",MA,9786646585
549 ELM STREET,TOWER,30722,MANSFIELD,38046,,JIM'S AUTO SVCS & TOWING INC,MA,5086950314
53 CENTRAL STREET,TOWER,16915,MARLBOROUGH,3780,,"CENTRAL AUTO REBUILDERS, INC.",MA,5082794454
109 FITCHBURG STREET,TOWER,28396,MARLBOROUGH,26020,"LAND'S TOWING & SERVICE, INC.","LAND'S TOWING & SERVICE, INC.",MA,5084850130
492 SOUTH STREET,TOWER,21545,MARLBOROUGH,4963,"PRECISION AUTO BODY, INC.","PRECISION AUTO BODY, INC.",MA,5086979662
9 MILL STREET,TOWER,30648,MARLBOROUGH,37937,,SOUCY'S AUTO BODY,MA,5084853306
412 SOUTH STREET,TOWER,31707,MARLBOROUGH,52628,ALAN BRODEUR'S AUTO BODY INC,SOUTH STREET AUTO PARTS,MA,5084808808
835 PLAIN ST,TOWER,31781,MARSHFIELD,52720,MICHAEL J CHRISTIE,ANDY'S TOWING LLC,MA,7812935500
847 WEBSTER ST UNIT 6,TOWER,31747,MARSHFIELD,52686,,CJV AUTOMOTIVE & TOWING,MA,7818488600
221 SUMMER STREET,TOWER,20017,MARSHFIELD,4464,,MARSHFIELD AUTO BODY,MA,
359 FOREST STREET,TOWER,31734,MARSHFIELD,52655,"THOMAS, BRIAN AND MARY ROFFEY",ROFFEY FAMILY ENTERPRISES,MA,9782234037
875 PLAIN STREET,TOWER,31537,MARSHFIELD,52340,,SAFEWAY TOWING LLC,MA,7814496786
135 MAIN STREET/ROUTE 130,TOWER,31081,MASHPEE,50203,,ACCESS AUTO TOO INC,MA,8882408803
1590 BLUE HILL AVENUE,TOWER,24201,MATTAPAN,5991,,AUTO SERVICE & TIRE INC,MA,5082794454
33 EDGEWATER DRIVE,TOWER,28786,MATTAPAN,28845,DAVID E. GRANT,PRECISION AUTO BODY,MA,4132457600
3 COUNTY ROAD,TOWER,16363,MATTAPOISETT,3676,,"DECOFFE AUTOMOTIVE SERVICE,INC",MA,5089973321
7 MILL STREET REAR,TOWER,31647,MAYNARD,52533,CJ RECOVERY INC,CJ AUTO & TOW,MA,6179693240
162 Alewife,TOWER,13285,MAYNARD,3197,,"JARMO'S AUTO REPAIR, INC.",MA,9784751146
22 R LINDEN ST,TOWER,31839,MEDFORD,52806,,AUTOMOTIVE TRANSPORT SERVICE L,MA,8882408803
50 Mystic Avenue,TOWER,31117,MEDFORD,51605,,EXPORT ENTERPRISES OF MASS INC,MA,3125957165
435 R RIVERSIDE AVE,TOWER,30569,MEDFORD,37804,SAME,HI TOW INC,MA,5085647200
12 LOCUST STREET,TOWER,1087,MEDFORD,994,,NORTH ATLANTIC,MA,7819422225
50 Mystic Avenue,TOWER,31499,MEDFORD,52274,Export Enterprises,PAT'S TOWING INC,MA,3125957165
20 SYCAMORE AVE,TOWER,31911,MEDFORD,52902,RAPID RESPONSE LLP,RAPID RESPONSE LLP,MA,7813219700
60 UNION STREET,TOWER,30543,MEDFORD,37745,,STEPHENS AUTOMOTIVE TRANSP INC,MA,7819373200
27 JAYAR ROAD,TOWER,26806,MEDWAY,16243,,JOHN'S AUTO BODY,MA,5083666161
71 MAIN STREET,TOWER,31194,MEDWAY,51933,,NWG AUTOMOTIVE REPAIR INC,MA,5085335141
140 TREMONT STREET,TOWER,25685,MELROSE,6917,,"STEPHENS TOWING, Inc.",MA,7816652990
69 HARTFORD AVE - WEST,TOWER,24976,MENDON,6395,,BUD AND SON AUTO BODY,MA,5082346333
152 UXBRIDGE ROAD,TOWER,17028,MENDON,3805,,HOWLEY'S AUTOMOTIVE,MA,5084730556
20 CAPE ROAD,TOWER,28909,MENDON,29614,,"SUTFOL AUTO SALES, INC.",MA,7817627300
115R WEST MAIN STREET,TOWER,26461,MERRIMAC,7759,,EDGEMONT GARAGE,MA,5086926904
27-33 HAVERHILL STREET,TOWER,7367,METHUEN,2652,"MARTINEAU'S GARAGE, INC.",MARTINEAU'S TOWING SERVICE,MA,7812450888
26 LAWRENCE STREET,TOWER,30672,METHUEN,37959,,SHEEHAN'S TOWING LLC,MA,8004434513
150 MERRIMACK STREET,TOWER,8776,METHUEN,2748,,"VALLEY TOWING, INC.",MA,9786575100
39 RIVER STREET,TOWER,31209,MIDDLEBOROUGH,51882,JEFFREY SEAMAN,JEFF'S TOWING,MA,5085647200
428 WAREHAM STREET,TOWER,29935,MIDDLEBOROUGH,36702,,"JOSEF'S AUTO SALES, INC.",MA,5089954553
16 Cushman Street,TOWER,30766,MIDDLEBOROUGH,48551,CHRISTOPHER THOMAS,MODERN TOWING,MA,5085647200
87 FOREST STREET,TOWER,25117,MIDDLETON,52766,,DAVES TOWING CO INC,MA,9789272600
93 CEDAR STREET,TOWER,9492,MILFORD,2818,ARTS TOWING INC,ART'S AUTO SERVICE,MA,5087547255
7 CHARLES RIVER STREET,TOWER,30746,MILFORD,48517,,AUTOGO INC.,MA,5083666161
51 E.  MAIN STREET,TOWER,31483,MILFORD,52255,MARK'S TRANSPORTATION LLC,MARK'S TOWING,MA,8008408842
12 SOUTH FREE STREET,TOWER,31859,MILFORD,52855,,SANTOS GARAGE INC,MA,9784594547
60 WEST STREET,TOWER,31128,MILFORD,51792,TREVOR GOULETTE & JOSEPH PROIA,TONY'S COLLISION,MA,5084730556
139 WORCESTER-PROVIDENCE HWY,TOWER,30758,MILLBURY,48529,,DIRENZO TOWING & RECOVERY INC,MA,5087555944
531 TURNERS FALLS ROAD,TOWER,21106,MONTAGUE,4822,,RAU'S SUNOCO SERVICE,MA,4138634373
24 POLPIS ROAD,TOWER,31622,NANTUCKET,52488,,DON ALLEN AUTO SERVICE INC,MA,8772255276
36 SPARKS AVENUE,TOWER,20769,NANTUCKET,4702,,NANTUCKET AUTO BODY INC,MA,5082280344
55 MIDDLESEX AVENUE,TOWER,24183,NATICK,5984,,A B COACH AND CARRIAGE INC,MA,5086533131
36 SOUTH MAIN STREET,TOWER,24073,NATICK,48750,,MABARDY'S GULF SERVICES INC,MA,8003337234
8 HARRISON STREET,TOWER,15935,NATICK,3600,,"MIDDLESEX AUTO BODY CO., INC.",MA,5083666161
13 COCHITUATE STREET,TOWER,31333,NATICK,52053,,SANSOSSIO AUTO BODY - NATICK,MA,5086533131
9 BRICHER STREET,TOWER,21860,NEWBURYPORT,5068,GERALD S. VOLPONE,VOLPONE TOWING SERVICE,MA,9784655301
98 POND STREET,TOWER,31531,NORFOLK,52342,AUGUSTINE CENTOLA,C & E AUTO BODY,MA,7817622300
38 MAIN STREET,TOWER,15736,NORFOLK,3568,,"NORFOLK AUTO, INC.",MA,8009226757
676 CURRAN HIGHWAY,TOWER,25967,NORTH ADAMS,7269,,CARIDDI AUTO AGENCY,MA,4132430089
528 CURRAN HIGHWAY,TOWER,25393,NORTH ADAMS,52813,JOSEPH T DEAN,DEAN'S QUALITY AUTO & TRUCK RE,MA,4132430089
1519 CURRAN HIGHWAY,TOWER,30876,NORTH ADAMS,48720,,MOHAWK AUTO SALES,MA,4137431216
141-153 SUTTON STREET,TOWER,20375,NORTH ANDOVER,4573,,"TROMBLY BROS., INC.",MA,8882408803
525 JOHN DIETSCH BOULEVARD,TOWER,31710,NORTH ATTLEBORO,52624,,RIEL AUTO BODY LLC,MA,5088951441
96 BOSTON ROAD,TOWER,9604,NORTH BILLERICA,2835,,STAN'S GENERAL AUTO SERVICE,MA,9786642000
69 DONOVAN ROAD,TOWER,31207,NORTH BROOKFIELD,51885,,COUNTRY AUTO BODY INC,MA,5087565159
65 DONOVAN ROAD,TOWER,13324,NORTH BROOKFIELD,3203,,HUCK'S DIESEL & TOWING SERVICE,MA,5087565159
"50 TYNGSBORO ROAD, RT 3A",TOWER,20080,NORTH CHELMSFORD,4482,,"DUFFY'S AUTO COMPANY, INC.",MA,9784245752
112 REAR HAVERHILL STREET,TOWER,23509,NORTH READING,5674,,BAY ST. NO. TOW.-BAY ST. REC S,MA,7816652990
25 HICKORY LANE,TOWER,31739,NORTH READING,52673,,INCIDENT CLEAR LLC,MA,6178470005
32 DAMON ROAD,TOWER,9978,NORTHAMPTON,2895,,CAHILLANE AUTO BODY,MA,4135865011
376 EASTHAMPTON ROAD,TOWER,18615,NORTHAMPTON,4106,"WAYSIDE AUTO BODY, INC.",ERNIE'S TOWING,MA,3152145822
19 HOLYOKE STREET,TOWER,14105,NORTHAMPTON,52410,,"HAROLD'S GARAGE, INC.",MA,5087474292
531 MT HERMON STATION ROAD,TOWER,31904,NORTHFIELD,52895,TIMOTHY O'SHEA,O'SHEA'S REPAIR,MA,4137739913
61 KING PHILLIP RD,TOWER,22323,NORTON,5224,,EDD'S AUTO REPAIR,MA,8009725348
97 OAK STREET,TOWER,30377,NORTON,37488,,FOGERTY'S TOWING,MA,7813295420
85 MANSFIELD AVENUE REAR,TOWER,31737,NORTON,52669,,MIDWAY TOWING AND RECOVERY LLC,MA,7814496786
724 MAIN STREET,TOWER,13498,NORWELL,3228,,JOSEPH'S PONTIAC,MA,7818265161
101 CARNEGIE ROW,TOWER,9423,NORWOOD,2808,NORWOOD CENTER AUTO BODY INC,CENTER AUTO BODY,MA,7818487652
63 MORSE STREET,TOWER,30741,NORWOOD,48511,,DICK WILLIAMS INC.,MA,5082794454
176 WORCESTER AVENUE,TOWER,24997,OAK BLUFFS,6405,,BUDDY'S AUTO & TRK REP. SERV.,MA,7813564141
726 SOUTH MAIN STREET,TOWER,24798,ORANGE,6299,,BOB'S TOWING & SERVICE,MA,8004434513
48 KING STREET,TOWER,26579,ORANGE,7829,,DICK'S AUTO REPAIR,MA,9782493273
38 SMITH AVENUE,TOWER,25840,ORANGE,7067,,JIM'S AUTO,MA,9782493273
456 MAIN STREET,TOWER,23349,OXFORD,5602,,BONNETTE'S AUTOMOTIVE INC,MA,5087547255
241 WILBRAHAM STREET,TOWER,14512,PALMER,3366,,LABONTE & SON,MA,4132838378
324 PLEASANT STREET,TOWER,31795,PAXTON,52746,ROBERT A DOLAN,PAXTON AUTO REPAIR + COLLISION,MA,5087523300
255 ANDOVER STREET,TOWER,30630,PEABODY,51818,READING AUTO BODY CLINIC INC,AUTO BODY CLINIC INC,MA,6174891700
134 Rear NEWBURY STREET,TOWER,30822,PEABODY,48626,SAME,"FOUR STAR SERVICE, INC.",MA,8772255276
161 WASHINGTON STREET,TOWER,29332,PEABODY,33181,,"MALLIA'S TOWING, INC.",MA,6178470005
44 ELLSWORTH ROAD,TOWER,27163,PEABODY,17846,,"PHIL'S TWG. & REC. SERV., INC.",MA,9787504474
0 CORWIN STREET,TOWER,31535,PEABODY,52335,,WC GURRISI & SONS INC,MA,5086684100
17 NASHUA ROAD,TOWER,30352,PEPPERELL,37563,,AUTO CLINIC,MA,9786616915
41-9 LOMAR PARK,TOWER,31872,PEPPERELL,52854,LON H MORINE,EASTBOUND TRANSPORT,MA,7812728306
52 GROTON STREET,TOWER,31003,PEPPERELL,48882,"KIRK MOTOR WORKS, INC.",KEMP'S SERVICE STATION,MA,9784432777
44 NORTH STREET,TOWER,31165,PEPPERELL,51838,,R. H. WILLSON INC,MA,8882408803
6 NORTH ROAD,TOWER,26296,PERU,7628,,JERRY'S TOWING SERVICE,MA,4134488224
145 QUEEN LAKE ROAD,TOWER,29298,PHILLIPSTON,32750,,QUEEN LAKE AUTO REPAIR,MA,9786321098
297 SOUTH STREET,TOWER,30823,PLAINVILLE,48617,DALE RONHOCK,RONHOCK'S TOWING SERVICE,MA,5086517700
160 SOUTH STREET,TOWER,21954,PLAINVILLE,5106,,T & D AUTO & TRK. SERV. CTR. I,MA,5086957051
PO BOX 1124,TOWER,21874,PLYMOUTH,5073,MCCARTHY TOWING INC,ALMEIDA'S TOWING,MA,5085647200
53 SAMOSET STREET,TOWER,14974,PLYMOUTH,3441,,CAPE AUTO BODY,MA,7818437000
104 SANDWICH ST.,TOWER,27322,PLYMOUTH,18610,,"GELLAR, STEPHEN",MA,5087471400
506 STATE ROAD,TOWER,10103,PLYMOUTH,2906,,P GELLAR'S SVC  STATION INC,MA,5082243600
10 COLUMBUS ROAD,TOWER,30145,PLYMOUTH,37038,,PAUL ALMEIDA 24 HR. TOWING,MA,5089946988
45 SOUTH STREET,TOWER,30555,PLYMOUTH,37741,,PERFORMANCE AUTOMOTIVE & TOW,MA,7815856050
114 LONG POND ROAD,TOWER,31773,PLYMOUTH,52713,,PLYMOUTH TAYLOR EQUIPMENT RENT,MA,9257983334
2235 STATE ROAD,TOWER,25427,PLYMOUTH,6686,,RICHIE'S TOWING,MA,5082240169
86 REAR SOUTH STREET,TOWER,23036,PLYMOUTH,5496,,SOUZA'S TOWING & REPAIR,MA,5089949688
18 COLUMBUS ROAD,TOWER,25346,PLYMOUTH,6631,,VANCE'S AUTO BODY,MA,5087467990
70 COUNTY ROAD,TOWER,25905,PLYMPTON,7130,,NEW ENGLAND CARRIAGE SHOP,MA,9786642000
"70 COUNTY RD., RT 106",TOWER,24541,PLYMPTON,6157,,SOUTH SHORE TOWING,MA,7812936331
RT. 28,TOWER,10707,POCASSET,2970,,KENT AUTO,MA,5085647200
18 COMMERCE PARK ROAD,TOWER,31633,POCASSET,52520,,MIRACLE REPAIR & REFINISHING,MA,7814496786
54 PORTSIDE DRIVE,TOWER,31021,POCASSET,48906,"DIAMOND COLLISION SPEC, INC.",PORTSIDE TOWING,MA,5089949688
42 CONWELL STREET,TOWER,25706,PROVINCETOWN,6937,,ROD'S SERVICE STATION,MA,5084899044
450 SOUTHERN ARTERY,TOWER,23675,QUINCY,5745,,"BEARDE & SONS, JIM",MA,7818437000
313 WILLARD STREET,TOWER,17834,QUINCY,3956,,BIONDI'S SERVICE CENTER,MA,6174716781
258 Willard Street,TOWER,20960,QUINCY,4769,,"BLUE HILLS TOWING CO., INC.",MA,6176982200
440B E. SQUANTUM ST.,TOWER,22399,QUINCY,5244,,CW AYERS INC,MA,7816083147
299 CENTRE STREET,TOWER,23665,QUINCY,5741,SAME,SCHLAGERS AUTO BODY REPAIR INC,MA,5087598022
298 North Street,TOWER,31290,RANDOLPH,51982,CHARLES & LISA MORA,C & L TOWING,MA,6174365050
536 SOUTH MAIN STREET,TOWER,30430,RANDOLPH,5271,,"L & W AUTO BODY, INC.",MA,7819633303
679 SOUTH STREET WEST,TOWER,31307,RAYNHAM,52011,,HARRY'S AUTOBODY INC,MA,5084594700
1525 NEW STATE HIGHWAY,TOWER,20463,RAYNHAM,4597,,"MASTRIA BUICK PONTIAC,GMC TRK",MA,6037219833
703 SOUTH STREET EAST,TOWER,31149,RAYNHAM,51828,,PETTY CASH TOW & RECOV INC,MA,5085647200
648 CHURCH STREET,TOWER,30503,RAYNHAM,37687,,"TINO'S TRUCK SERVICE, INC.",MA,5086735893
4 MINOT STREET,TOWER,30870,READING,48712,"N. READING AUTO REPAIR, INC.",GRAY'S TOWING,MA,8883334949
4 B FALLS STREET,TOWER,31609,REHOBOTH,52475,AUTOSHOW TOWING AND RECOVERY L,AUTOSHOW TOWING AND RECOVERY L,MA,7817623824
1087 BROADWAY,TOWER,30879,REVERE,48721,,ACTION EMERGENCY MGMT SVCS INC,MA,7812892233
22 WHITIN AVENUE,TOWER,22041,REVERE,5135,,"G/J TOWING, INC.",MA,4139673327
977 BROADWAY,TOWER,31312,REVERE,52026,"MARIO'S SERVICE CENTER, INC.","MARIO'S SERVICE CENTER, INC.",MA,5082794454
1420 D NORTH SHORE ROAD,TOWER,31065,REVERE,50181,,MARTINEZ TOW & TRANS CORP,MA,6175676558
577 MARKET STREET,TOWER,31107,ROCKLAND,51583,,LOU'S AUTO BODY INC,MA,7815456400
274 NEWBURYPORT TPK.,TOWER,25869,ROWLEY,7096,,"GINO'S COLLISION CENTER, INC.",MA,7819422225
74 MAPLE AVENUE,TOWER,18858,RUTLAND,4163,,"BILL'S GARAGE OF RUTLAND, INC.",MA,5087565159
50 MAPLE AVENUE,TOWER,28089,RUTLAND,23977,RUTLAND TOWING INC,RUTLAND TOWING INC,MA,5087565159
MAIN ST. - RTE. 6A,TOWER,10238,SAGAMORE,2924,,"KNOWLTON'S GARAGE, INC.",MA,5089949688
15 ROBINSON ROAD,TOWER,20872,SALEM,4741,,A & H AUTO EXCHANGE,MA,6172850826
171 BOSTON STREET,TOWER,30355,SALEM,37477,,"ALLSTAR ENTERPRISES, INC.",MA,5083781169
2 COMMERCIAL STREET,TOWER,19953,SALEM,4440,,"BILL'S AUTO CLINIC, INC.",MA,5085647200
110 JEFFERSON AVENUE,TOWER,11395,SALEM,3024,,"BOUCHARD & SON, INC.",MA,9787444400
43 ESSEX STREET,TOWER,17836,SALEM,3958,,"NORTH SHORE AUTO CLINIC, INC.",MA,7814312500
158 ELM STREET,TOWER,31514,SALISBURY,52303,,SEACOAST COLLISION CENTER INC,MA,6173120630
16 MAIN STREET,TOWER,31539,SALISBURY,52355,JJED CORPORATION,SIMMIES TOWING,MA,8004434513
7 Tolland Road,TOWER,23638,SANDISFIELD,52635,,A & M AUTO SERVICE,MA,4132430105
4 Merchant Square,TOWER,31630,SANDWICH,52506,BD TRANSPORT & LOGISTICS INC,BIG DOG AUTO TRANSPORT,MA,
4 Merchant Square,TOWER,31630,SANDWICH,52506,BD TRANSPORT & LOGISTICS INC,BIG DOG AUTO TRANSPORT,MA,
1481 BROADWAY,TOWER,27169,SAUGUS,17837,,PAUL V MCGARVEY TRANS OF MV,MA,
45 WOODLAND AVE.,TOWER,30768,SEEKONK,48571,,"ADVANCED TOWING, INC.",MA,8772255276
102B Pond Street,TOWER,31533,SEEKONK,52345,JEREMY D REIS,ALL MOBILE TOWING,MA,5082523312
1872 FALL RIVER AVENUE,TOWER,27801,SEEKONK,20656,"HOLLISTER AUTO, INC.","HOLLISTER AUTO, INC.",MA,5083368900
